date,furniture_sales,food_sales,used_car_sales,pharmacy_sales
1/1/17,8480,473357,8504,22371
2/1/17,8471,471165,9588,21236
3/1/17,9945,472041,10924,23353
4/1/17,8878,475145,9188,22301
5/1/17,9755,473752,9663,23743
6/1/17,9717,476074,9704,23055
7/1/17,9588,476685,9447,22286
8/1/17,10246,477452,9547,23519
9/1/17,9879,487096,9181,22591
10/1/17,9851,489148,9058,24047
11/1/17,10915,492633,8523,23277
12/1/17,11636,492643,8164,25142
1/1/18,9016,492034,8778,23742
2/1/18,8816,492530,9866,21730
3/1/18,10353,496077,11171,23958
4/1/18,9527,497776,9466,23084
5/1/18,10286,503955,9991,24709
6/1/18,10103,505168,9723,23779
7/1/18,10113,508230,9673,23811
8/1/18,10615,507872,9955,24571
9/1/18,9928,507606,8863,22813
